,\rot{Item-KNN},\rot{User-KNN},\rot{RP3beta},\rot{RP3beta},\rot{iALS},\rot{EASE-R},\rot{SlopeOne},\rot{CoClustering}
NDCG@1,1/4 (1.5),2/18 (11.1),2/12 (5.3),1/12 (3.7),1/19 (7.4),1/18 (4.2),7/22 (15.7),1/20 (14.1)
NDCG@2,1/10 (1.8),2/17 (9.3),2/14 (6.0),1/14 (4.0),1/19 (7.5),1/18 (4.8),9/23 (16.7),1/21 (14.9)
NDCG@5,1/12 (2.2),1/16 (7.4),2/14 (5.9),1/15 (4.0),2/19 (7.4),1/18 (5.2),12/23 (17.8),2/21 (15.5)
NDCG@10,1/13 (2.3),1/15 (6.6),2/15 (6.2),1/14 (4.3),1/19 (7.2),1/18 (5.2),14/23 (18.2),2/21 (15.7)
NDCG@50,1/13 (2.9),1/15 (5.9),2/15 (6.4),1/16 (4.9),1/19 (6.5),1/18 (5.8),13/23 (18.4),3/21 (15.8)
PRECISION@1,1/4 (1.5),2/18 (11.1),2/12 (5.3),1/12 (3.7),1/19 (7.4),1/18 (4.2),7/22 (15.7),1/20 (14.1)
PRECISION@2,1/11 (1.9),2/16 (8.4),1/14 (5.9),1/14 (3.9),1/19 (7.4),1/18 (4.6),7/23 (16.6),1/21 (14.7)
PRECISION@5,1/12 (2.6),1/16 (6.1),1/14 (5.9),1/13 (4.2),1/19 (7.1),1/18 (5.6),13/23 (17.9),3/21 (15.4)
PRECISION@10,1/12 (2.9),1/14 (4.9),1/14 (6.6),1/15 (4.6),1/19 (6.2),1/18 (6.6),14/23 (18.3),7/21 (15.9)
PRECISION@50,1/14 (4.3),1/12 (4.1),1/17 (7.3),1/18 (5.8),1/19 (5.4),2/18 (8.1),13/23 (18.1),2/21 (15.7)
RECALL@1,1/4 (1.5),2/18 (11.1),2/12 (5.3),1/12 (3.7),1/19 (7.4),1/18 (4.2),7/22 (15.7),1/20 (14.1)
RECALL@2,1/11 (1.9),2/16 (8.4),1/14 (5.9),1/14 (3.9),1/19 (7.4),1/18 (4.6),7/23 (16.6),1/21 (14.7)
RECALL@5,1/12 (2.6),1/16 (6.1),1/14 (5.9),1/13 (4.2),1/19 (7.1),1/18 (5.6),13/23 (17.9),3/21 (15.4)
RECALL@10,1/12 (2.9),1/14 (4.9),1/14 (6.6),1/15 (4.6),1/19 (6.2),1/18 (6.6),14/23 (18.3),7/21 (15.9)
RECALL@50,1/14 (4.3),1/12 (4.1),1/17 (7.3),1/18 (5.8),1/19 (5.4),2/18 (8.1),13/23 (18.1),2/21 (15.7)
PRECISION_RECALL_MIN_DEN@1,1/4 (1.5),2/18 (11.1),2/12 (5.3),1/12 (3.7),1/19 (7.4),1/18 (4.2),7/22 (15.7),1/20 (14.1)
PRECISION_RECALL_MIN_DEN@2,1/11 (1.9),2/16 (8.4),1/14 (5.9),1/14 (3.9),1/19 (7.4),1/18 (4.6),7/23 (16.6),1/21 (14.7)
PRECISION_RECALL_MIN_DEN@5,1/12 (2.6),1/16 (6.1),1/14 (5.9),1/13 (4.2),1/19 (7.1),1/18 (5.6),13/23 (17.9),3/21 (15.4)
PRECISION_RECALL_MIN_DEN@10,1/12 (2.9),1/14 (4.9),1/14 (6.6),1/15 (4.6),1/19 (6.2),1/18 (6.6),14/23 (18.3),7/21 (15.9)
PRECISION_RECALL_MIN_DEN@50,1/14 (4.3),1/12 (4.1),1/17 (7.3),1/18 (5.8),1/19 (5.4),2/18 (8.1),13/23 (18.1),2/21 (15.7)
F1@1,1/4 (1.5),2/18 (11.1),2/12 (5.3),1/12 (3.7),1/19 (7.4),1/18 (4.2),7/22 (15.7),1/20 (14.1)
F1@2,1/11 (1.9),2/16 (8.4),1/14 (5.9),1/14 (3.9),1/19 (7.4),1/18 (4.6),7/23 (16.6),1/21 (14.7)
F1@5,1/12 (2.6),1/16 (6.1),1/14 (5.9),1/13 (4.2),1/19 (7.1),1/18 (5.6),13/23 (17.9),3/21 (15.4)
F1@10,1/12 (2.9),1/14 (4.9),1/14 (6.6),1/15 (4.6),1/19 (6.2),1/18 (6.6),14/23 (18.3),7/21 (15.9)
F1@50,1/14 (4.3),1/12 (4.1),1/17 (7.3),1/18 (5.8),1/19 (5.4),2/18 (8.1),13/23 (18.1),2/21 (15.7)
MAP@1,1/4 (1.5),2/18 (11.1),2/12 (5.3),1/12 (3.7),1/19 (7.4),1/18 (4.2),7/22 (15.7),1/20 (14.1)
MAP@2,1/8 (1.6),2/17 (9.5),2/14 (5.8),1/14 (3.8),1/19 (7.4),1/18 (4.7),8/23 (16.5),1/21 (14.6)
MAP@5,1/12 (2.1),2/16 (7.9),2/14 (5.8),1/14 (3.9),1/19 (7.4),1/18 (4.8),12/23 (17.6),1/21 (15.3)
MAP@10,1/13 (2.1),1/16 (7.6),2/15 (6.0),1/14 (4.1),1/19 (7.5),1/18 (4.9),12/23 (17.9),1/21 (15.5)
MAP@50,1/13 (2.2),1/15 (7.4),2/15 (5.9),1/14 (4.3),1/19 (7.4),1/18 (5.0),14/23 (18.2),1/21 (15.6)
MAP_MIN_DEN@1,1/4 (1.5),2/18 (11.1),2/12 (5.3),1/12 (3.7),1/19 (7.4),1/18 (4.2),7/22 (15.7),1/20 (14.1)
MAP_MIN_DEN@2,1/8 (1.6),2/17 (9.5),2/14 (5.8),1/14 (3.8),1/19 (7.4),1/18 (4.7),8/23 (16.5),1/21 (14.6)
MAP_MIN_DEN@5,1/12 (2.1),2/16 (7.9),2/14 (5.8),1/14 (3.9),1/19 (7.4),1/18 (4.8),12/23 (17.6),1/21 (15.3)
