,\rot{Mult-VAE},\rot{U-neural},\rot{MF-AsySVD},\rot{MF-FunkSVD},\rot{SVD},\rot{NMF},\rot{MF-BPR},\rot{SLIM-BPR},\rot{SLIM-ElasticNet},\rot{CoClustering}
NDCG@1,4/20 (12.9),1/17 (10.1),2/16 (10.8),1/13 (8.5),1/13 (6.1),1/12 (7.0),1/17 (10.3),1/12 (4.1),1/17 (5.8),1/19 (13.9)
NDCG@2,7/20 (12.6),4/18 (12.7),2/16 (11.2),1/17 (9.7),1/15 (6.0),2/13 (7.0),2/17 (11.0),1/13 (4.2),1/17 (6.2),1/19 (14.7)
NDCG@5,8/18 (12.0),2/19 (12.8),4/16 (11.2),1/15 (10.0),2/12 (6.2),1/13 (7.6),3/17 (11.9),1/14 (4.2),1/17 (7.1),2/19 (15.3)
NDCG@10,3/19 (11.6),3/18 (13.1),4/16 (11.2),2/15 (10.1),1/12 (6.4),1/13 (7.2),2/17 (11.9),1/14 (4.9),1/17 (7.1),2/19 (15.5)
NDCG@50,1/20 (10.3),1/20 (13.3),5/16 (11.0),1/15 (10.1),1/16 (6.4),1/13 (7.0),2/16 (12.3),1/14 (6.1),1/16 (7.8),3/19 (15.6)
PRECISION@1,4/20 (12.9),1/17 (10.1),2/16 (10.8),1/13 (8.5),1/13 (6.1),1/12 (7.0),1/17 (10.3),1/12 (4.1),1/17 (5.8),1/19 (13.9)
PRECISION@2,7/19 (12.4),4/18 (12.8),1/16 (10.7),2/15 (9.5),1/14 (5.9),1/12 (6.7),2/16 (10.9),1/13 (3.8),1/17 (6.0),1/19 (14.5)
PRECISION@5,5/17 (11.3),2/18 (12.9),1/16 (10.2),1/15 (9.3),1/10 (5.8),1/13 (7.2),1/16 (11.2),1/14 (4.7),1/17 (7.6),3/19 (15.2)
PRECISION@10,2/18 (10.7),3/18 (13.2),1/16 (9.9),1/14 (9.4),1/11 (6.0),1/14 (6.9),1/16 (11.3),1/14 (5.3),1/17 (8.1),7/19 (15.7)
PRECISION@50,1/19 (8.6),1/19 (12.7),1/15 (9.7),1/14 (8.9),1/16 (5.4),1/12 (6.8),1/16 (11.5),1/14 (7.3),1/16 (9.2),2/19 (15.5)
RECALL@1,4/20 (12.9),1/17 (10.1),2/16 (10.8),1/13 (8.5),1/13 (6.1),1/12 (7.0),1/17 (10.3),1/12 (4.1),1/17 (5.8),1/19 (13.9)
RECALL@2,7/19 (12.4),4/18 (12.8),1/16 (10.7),2/15 (9.5),1/14 (5.9),1/12 (6.7),2/16 (10.9),1/13 (3.8),1/17 (6.0),1/19 (14.5)
RECALL@5,5/17 (11.3),2/18 (12.9),1/16 (10.2),1/15 (9.3),1/10 (5.8),1/13 (7.2),1/16 (11.2),1/14 (4.7),1/17 (7.6),3/19 (15.2)
RECALL@10,2/18 (10.7),3/18 (13.2),1/16 (9.9),1/14 (9.4),1/11 (6.0),1/14 (6.9),1/16 (11.3),1/14 (5.3),1/17 (8.1),7/19 (15.7)
RECALL@50,1/19 (8.6),1/19 (12.7),1/15 (9.7),1/14 (8.9),1/16 (5.4),1/12 (6.8),1/16 (11.5),1/14 (7.3),1/16 (9.2),2/19 (15.5)
PRECISION_RECALL_MIN_DEN@1,4/20 (12.9),1/17 (10.1),2/16 (10.8),1/13 (8.5),1/13 (6.1),1/12 (7.0),1/17 (10.3),1/12 (4.1),1/17 (5.8),1/19 (13.9)
PRECISION_RECALL_MIN_DEN@2,7/19 (12.4),4/18 (12.8),1/16 (10.7),2/15 (9.5),1/14 (5.9),1/12 (6.7),2/16 (10.9),1/13 (3.8),1/17 (6.0),1/19 (14.5)
PRECISION_RECALL_MIN_DEN@5,5/17 (11.3),2/18 (12.9),1/16 (10.2),1/15 (9.3),1/10 (5.8),1/13 (7.2),1/16 (11.2),1/14 (4.7),1/17 (7.6),3/19 (15.2)
PRECISION_RECALL_MIN_DEN@10,2/18 (10.7),3/18 (13.2),1/16 (9.9),1/14 (9.4),1/11 (6.0),1/14 (6.9),1/16 (11.3),1/14 (5.3),1/17 (8.1),7/19 (15.7)
PRECISION_RECALL_MIN_DEN@50,1/19 (8.6),1/19 (12.7),1/15 (9.7),1/14 (8.9),1/16 (5.4),1/12 (6.8),1/16 (11.5),1/14 (7.3),1/16 (9.2),2/19 (15.5)
F1@1,4/20 (12.9),1/17 (10.1),2/16 (10.8),1/13 (8.5),1/13 (6.1),1/12 (7.0),1/17 (10.3),1/12 (4.1),1/17 (5.8),1/19 (13.9)
F1@2,7/19 (12.4),4/18 (12.8),1/16 (10.7),2/15 (9.5),1/14 (5.9),1/12 (6.7),2/16 (10.9),1/13 (3.8),1/17 (6.0),1/19 (14.5)
F1@5,5/17 (11.3),2/18 (12.9),1/16 (10.2),1/15 (9.3),1/10 (5.8),1/13 (7.2),1/16 (11.2),1/14 (4.7),1/17 (7.6),3/19 (15.2)
F1@10,2/18 (10.7),3/18 (13.2),1/16 (9.9),1/14 (9.4),1/11 (6.0),1/14 (6.9),1/16 (11.3),1/14 (5.3),1/17 (8.1),7/19 (15.7)
F1@50,1/19 (8.6),1/19 (12.7),1/15 (9.7),1/14 (8.9),1/16 (5.4),1/12 (6.8),1/16 (11.5),1/14 (7.3),1/16 (9.2),2/19 (15.5)
MAP@1,4/20 (12.9),1/17 (10.1),2/16 (10.8),1/13 (8.5),1/13 (6.1),1/12 (7.0),1/17 (10.3),1/12 (4.1),1/17 (5.8),1/19 (13.9)
MAP@2,6/20 (12.6),2/17 (12.1),2/16 (11.2),1/17 (9.6),1/15 (5.9),2/13 (7.0),2/17 (10.8),1/13 (4.1),1/17 (6.1),1/19 (14.4)
MAP@5,8/19 (12.3),2/20 (12.8),5/16 (11.2),1/18 (10.3),1/12 (6.1),2/13 (7.6),2/17 (11.8),1/14 (4.2),1/17 (6.7),1/19 (15.1)
