,\rot{I-neural},\rot{U-neural},\rot{Spectral-CF},\rot{DELF-MLP},\rot{DELF-EF},\rot{Mult-VAE},\rot{GlobalEffects},\rot{TopPop},\rot{Random}
NDCG@1,13/17 (15.0),6/17 (11.8),19/23 (21.0),19/24 (21.0),10/18 (14.0),9/23 (12.9),2/19 (11.8),2/17 (9.8),10/23 (15.4)
NDCG@2,13/17 (15.6),7/19 (11.8),20/23 (21.6),20/24 (21.3),12/18 (14.3),8/19 (12.3),4/19 (13.1),3/18 (10.4),10/23 (15.8)
NDCG@5,12/18 (15.8),7/17 (11.6),20/24 (22.0),20/24 (21.7),7/18 (13.7),8/19 (12.2),3/19 (13.4),1/19 (10.7),10/23 (16.0)
NDCG@10,11/19 (15.4),8/17 (12.2),20/24 (22.4),20/24 (21.7),9/18 (14.4),7/17 (11.9),6/19 (13.5),1/18 (10.5),10/23 (16.0)
NDCG@50,13/19 (15.8),7/18 (12.4),21/24 (23.0),20/24 (21.9),12/19 (15.1),5/15 (10.6),6/19 (13.5),1/18 (9.7),9/22 (16.0)
PRECISION@1,13/17 (15.0),6/17 (11.8),19/23 (21.0),19/24 (21.0),10/18 (14.0),9/23 (12.9),2/19 (11.8),2/17 (9.8),10/23 (15.4)
PRECISION@2,10/17 (15.0),7/19 (11.6),20/23 (21.6),20/24 (21.3),12/18 (14.3),8/19 (12.3),4/19 (13.1),1/17 (10.4),10/23 (15.8)
PRECISION@5,12/19 (15.4),7/17 (12.0),20/24 (21.8),20/24 (21.7),7/18 (14.1),7/17 (12.1),2/19 (13.2),1/19 (10.5),10/22 (15.8)
PRECISION@10,12/19 (15.4),8/17 (12.6),20/24 (21.8),20/24 (21.4),11/17 (14.9),6/18 (11.6),7/19 (13.6),1/18 (10.3),10/22 (15.9)
PRECISION@50,13/19 (16.2),6/17 (13.2),22/24 (23.2),19/24 (21.6),13/19 (15.4),4/17 (8.8),7/19 (13.5),1/18 (9.0),9/22 (15.9)
RECALL@1,13/17 (15.0),6/17 (11.8),19/23 (21.0),19/24 (21.0),10/18 (14.0),9/23 (12.9),2/19 (11.8),2/17 (9.8),10/23 (15.4)
RECALL@2,10/17 (15.0),7/19 (11.6),20/23 (21.6),20/24 (21.3),12/18 (14.3),8/19 (12.3),4/19 (13.1),1/17 (10.4),10/23 (15.8)
RECALL@5,12/19 (15.4),7/17 (12.0),20/24 (21.8),20/24 (21.7),7/18 (14.1),7/17 (12.1),2/19 (13.2),1/19 (10.5),10/22 (15.8)
RECALL@10,12/19 (15.4),8/17 (12.6),20/24 (21.8),20/24 (21.4),11/17 (14.9),6/18 (11.6),7/19 (13.6),1/18 (10.3),10/22 (15.9)
RECALL@50,13/19 (16.2),6/17 (13.2),22/24 (23.2),19/24 (21.6),13/19 (15.4),4/17 (8.8),7/19 (13.5),1/18 (9.0),9/22 (15.9)
PRECISION_RECALL_MIN_DEN@1,13/17 (15.0),6/17 (11.8),19/23 (21.0),19/24 (21.0),10/18 (14.0),9/23 (12.9),2/19 (11.8),2/17 (9.8),10/23 (15.4)
PRECISION_RECALL_MIN_DEN@2,10/17 (15.0),7/19 (11.6),20/23 (21.6),20/24 (21.3),12/18 (14.3),8/19 (12.3),4/19 (13.1),1/17 (10.4),10/23 (15.8)
PRECISION_RECALL_MIN_DEN@5,12/19 (15.4),7/17 (12.0),20/24 (21.8),20/24 (21.7),7/18 (14.1),7/17 (12.1),2/19 (13.2),1/19 (10.5),10/22 (15.8)
PRECISION_RECALL_MIN_DEN@10,12/19 (15.4),8/17 (12.6),20/24 (21.8),20/24 (21.4),11/17 (14.9),6/18 (11.6),7/19 (13.6),1/18 (10.3),10/22 (15.9)
PRECISION_RECALL_MIN_DEN@50,13/19 (16.2),6/17 (13.2),22/24 (23.2),19/24 (21.6),13/19 (15.4),4/17 (8.8),7/19 (13.5),1/18 (9.0),9/22 (15.9)
F1@1,13/17 (15.0),6/17 (11.8),19/23 (21.0),19/24 (21.0),10/18 (14.0),9/23 (12.9),2/19 (11.8),2/17 (9.8),10/23 (15.4)
F1@2,10/17 (15.0),7/19 (11.6),20/23 (21.6),20/24 (21.3),12/18 (14.3),8/19 (12.3),4/19 (13.1),1/17 (10.4),10/23 (15.8)
F1@5,12/19 (15.4),7/17 (12.0),20/24 (21.8),20/24 (21.7),7/18 (14.1),7/17 (12.1),2/19 (13.2),1/19 (10.5),10/22 (15.8)
F1@10,12/19 (15.4),8/17 (12.6),20/24 (21.8),20/24 (21.4),11/17 (14.9),6/18 (11.6),7/19 (13.6),1/18 (10.3),10/22 (15.9)
F1@50,13/19 (16.2),6/17 (13.2),22/24 (23.2),19/24 (21.6),13/19 (15.4),4/17 (8.8),7/19 (13.5),1/18 (9.0),9/22 (15.9)
MAP@1,13/17 (15.0),6/17 (11.8),19/23 (21.0),19/24 (21.0),10/18 (14.0),9/23 (12.9),2/19 (11.8),2/17 (9.8),10/23 (15.4)
MAP@2,13/17 (15.4),7/19 (11.8),20/23 (21.6),20/24 (21.3),11/18 (14.3),9/19 (12.4),2/19 (12.8),2/18 (10.3),10/23 (15.8)
MAP@5,12/17 (15.6),7/17 (11.8),20/24 (22.0),20/24 (21.7),7/18 (14.0),8/19 (12.4),4/19 (13.4),3/19 (10.7),10/23 (16.0)
MAP@10,11/17 (15.2),7/17 (12.0),20/24 (22.2),20/24 (21.7),9/18 (14.4),8/18 (12.1),5/19 (13.4),1/17 (10.6),10/23 (16.1)
MAP@50,12/19 (15.8),7/17 (11.8),21/24 (22.8),20/24 (22.1),9/17 (14.0),7/16 (11.6),5/19 (13.5),1/18 (10.3),10/22 (16.0)
MAP_MIN_DEN@1,13/17 (15.0),6/17 (11.8),19/23 (21.0),19/24 (21.0),10/18 (14.0),9/23 (12.9),2/19 (11.8),2/17 (9.8),10/23 (15.4)
MAP_MIN_DEN@2,13/17 (15.4),7/19 (11.8),20/23 (21.6),20/24 (21.3),11/18 (14.3),9/19 (12.4),2/19 (12.8),2/18 (10.3),10/23 (15.8)
MAP_MIN_DEN@5,12/17 (15.6),7/17 (11.8),20/24 (22.0),20/24 (21.7),7/18 (14.0),8/19 (12.4),4/19 (13.4),3/19 (10.7),10/23 (16.0)
MAP_MIN_DEN@10,11/17 (15.2),7/17 (12.0),20/24 (22.2),20/24 (21.7),9/18 (14.4),8/18 (12.1),5/19 (13.4),1/17 (10.6),10/23 (16.1)
MAP_MIN_DEN@50,12/19 (15.8),7/17 (11.8),21/24 (22.8),20/24 (22.1),9/17 (14.0),7/16 (11.6),5/19 (13.5),1/18 (10.3),10/22 (16.0)
ARHR_ALL_HITS@1,13/17 (15.0),6/17 (11.8),19/23 (21.0),19/24 (21.0),10/18 (14.0),9/23 (12.9),2/19 (11.8),2/17 (9.8),10/23 (15.4)
ARHR_ALL_HITS@2,13/17 (15.4),7/19 (11.8),20/23 (21.6),20/24 (21.3),11/18 (14.3),9/19 (12.4),2/19 (12.8),2/18 (10.3),10/23 (15.8)
ARHR_ALL_HITS@5,12/17 (15.6),7/17 (11.8),20/24 (22.0),20/24 (21.7),7/18 (14.0),8/19 (12.4),4/19 (13.4),3/19 (10.7),10/23 (16.0)
ARHR_ALL_HITS@10,11/17 (15.2),7/17 (12.0),20/24 (22.2),20/24 (21.7),9/18 (14.4),8/18 (12.1),5/19 (13.4),1/17 (10.6),10/23 (16.1)
ARHR_ALL_HITS@50,12/19 (15.8),7/17 (11.8),21/24 (22.8),20/24 (22.1),9/17 (14.0),7/16 (11.6),5/19 (13.5),1/18 (10.3),10/22 (16.0)
MRR@1,13/17 (15.0),6/17 (11.8),19/23 (21.0),19/24 (21.0),10/18 (14.0),9/23 (12.9),2/19 (11.8),2/17 (9.8),10/23 (15.4)
MRR@2,13/17 (15.4),7/19 (11.8),20/23 (21.6),20/24 (21.3),11/18 (14.3),9/19 (12.4),2/19 (12.8),2/18 (10.3),10/23 (15.8)
MRR@5,12/17 (15.6),7/17 (11.8),20/24 (22.0),20/24 (21.7),7/18 (14.0),8/19 (12.4),4/19 (13.4),3/19 (10.7),10/23 (16.0)
MRR@10,11/17 (15.2),7/17 (12.0),20/24 (22.2),20/24 (21.7),9/18 (14.4),8/18 (12.1),5/19 (13.4),1/17 (10.6),10/23 (16.1)
MRR@50,12/19 (15.8),7/17 (11.8),21/24 (22.8),20/24 (22.1),9/17 (14.0),7/16 (11.6),5/19 (13.5),1/18 (10.3),10/22 (16.0)
HIT_RATE@1,13/17 (15.0),6/17 (11.8),19/23 (21.0),19/24 (21.0),10/18 (14.0),9/23 (12.9),2/19 (11.8),2/17 (9.8),10/23 (15.4)
HIT_RATE@2,10/17 (15.0),7/19 (11.6),20/23 (21.6),20/24 (21.3),12/18 (14.3),8/19 (12.3),4/19 (13.1),1/17 (10.4),10/23 (15.8)
HIT_RATE@5,12/19 (15.4),7/17 (12.0),20/24 (21.8),20/24 (21.7),7/18 (14.1),7/17 (12.1),2/19 (13.2),1/19 (10.5),10/22 (15.8)
HIT_RATE@10,12/19 (15.4),8/17 (12.6),20/24 (21.8),20/24 (21.4),11/17 (14.9),6/18 (11.6),7/19 (13.6),1/18 (10.3),10/22 (15.9)
HIT_RATE@50,13/19 (16.2),6/17 (13.2),22/24 (23.2),19/24 (21.6),13/19 (15.4),4/17 (8.8),7/19 (13.5),1/18 (9.0),9/22 (15.9)
COVERAGE_ITEM_HIT@1,9/18 (14.4),13/19 (15.8),19/23 (20.8),19/24 (20.7),13/16 (14.6),4/19 (12.0),2/19 (13.3),2/19 (13.3),6/23 (14.0)
COVERAGE_ITEM_HIT@2,9/18 (14.0),13/19 (16.0),20/23 (21.8),20/24 (21.3),13/16 (14.6),4/16 (11.6),3/19 (13.7),3/19 (13.5),6/23 (14.8)
COVERAGE_ITEM_HIT@5,10/18 (14.0),13/20 (16.4),20/24 (22.0),20/24 (21.7),14/17 (15.1),4/17 (11.2),4/20 (13.8),2/20 (13.5),4/22 (14.8)
COVERAGE_ITEM_HIT@10,9/18 (14.0),13/20 (16.4),20/24 (21.8),20/23 (21.6),15/16 (15.1),5/18 (11.4),7/20 (14.0),5/20 (13.6),5/22 (14.9)
COVERAGE_ITEM_HIT@50,14/18 (15.0),12/20 (16.8),22/24 (23.2),19/24 (21.7),15/17 (15.4),5/18 (11.0),7/20 (14.2),5/20 (13.5),1/21 (14.6)
